MLS_ID,address,list_price,sold_price,house_type,bedrooms,bathrooms,dom,built_year,garage_type,Liv Area sqft,latitude,longitude,neighborhood,sqft,listing_date,season,region,original_price,lot_size
202509796,"570 Walker Avenue, Winnipeg R3L 1C4","\$334,900","\$401,570",RD,2,1.0,6,1909,Parking Pad,1025,0.0,0.0,Lord Roberts,1025.0,2025-06-11,Summer,Lord Roberts,"\$334,900",0
202509555,"1149 McMillan Avenue, Winnipeg R3M 0T7","\$339,900","\$355,000",RD,1,1.0,9,1946,Single Detached,700,0.0,0.0,Crescentwood,700.0,2025-06-11,Summer,Crescentwood,"\$339,900",0
202508543,"108 Brock Street, Winnipeg R3N 0Y4","\$724,900","\$725,000",RD,3,1.0,7,1927,Single Attached,2361,0.0,0.0,River Heights North,2361.0,2025-06-11,Summer,River Heights North,"\$724,900",0
202511580,"120 Lanark Street, Winnipeg R3N 1L1","\$399,900","\$418,500",RD,2,1.0,6,1923,Double Detached,1001,0.0,0.0,River Heights,1001.0,2025-06-11,Summer,River Heights,"\$399,900",0
202510849,"703 Brock Street, Winnipeg R3N 0Z3","\$524,900","\$518,500",RD,3,1.0,8,1953,Double Attached,1130,0.0,0.0,River Heights South,1130.0,2025-06-11,Summer,River Heights South,"\$524,900",0
202511672,"699 Oxford Street, Winnipeg R3M 3J3","\$399,900","\$494,000",RD,5,1.0,5,1957,Single Detached,1545,0.0,0.0,River Heights,1545.0,2025-06-11,Summer,River Heights,"\$399,900",0
202509406,"694 Park Boulevard S, Winnipeg R3P 0X1","\$1,549,900","\$1,450,000",RD,4,1.0,2,1982,Double Attached,3208,0.0,0.0,Tuxedo,3208.0,2025-06-11,Summer,Tuxedo,"\$1,549,900",0
202513358,"6021 Southboine Drive, Winnipeg R3R 0B5","\$970,000","\$955,000",RD,4,1.0,0,1972,Double Attached,1580,0.0,0.0,Charleswood,1580.0,2025-06-11,Summer,Charleswood,"\$970,000",0
202511061,"26 Willow Ridge Road, Winnipeg R3R 1L6","\$497,900","\$555,000",RD,4,1.0,8,1961,"Double Attached, Front Drive Access, Garage door opener",1342,0.0,0.0,Charleswood,1342.0,2025-06-11,Summer,Charleswood,"\$497,900",0
202511198,"18 Tillbrook Place, Winnipeg R3R 1W2","\$1,095,000","\$1,265,000",RD,5,1.0,9,2015,"Double Attached, Garage door opener, Insulated, Oversized, Workshop",2200,0.0,0.0,Charleswood,2200.0,2025-06-11,Summer,Charleswood,"\$1,095,000",0
202513254,"62 Civic Street, Winnipeg R3R 3M6","\$650,000","\$650,000",RD,4,1.0,0,1988,Double Attached,2051,0.0,0.0,Charleswood,2051.0,2025-06-11,Summer,Charleswood,"\$650,000",0
202510475,"617 Coventry Road, Winnipeg R3R 1B5","\$379,900","\$465,000",RD,3,1.0,8,1970,"Front Drive Access, Parking Pad",1097,0.0,0.0,Charleswood,1097.0,2025-06-11,Summer,Charleswood,"\$379,900",0
202510632,"179 Joynson Crescent, Winnipeg R3R 3Y4","\$609,000","\$685,000",RD,4,1.0,6,2019,"Double Attached, Insulated",1440,0.0,0.0,Charleswood,1440.0,2025-06-11,Summer,Charleswood,"\$609,000",0
202509056,"7 Alora Cove, Winnipeg R3R 4A3","\$579,900","\$560,000",RD,3,1.0,21,2024,Double Attached; Enclsd: 2,1496,0.0,0.0,Charleswood,1496.0,2025-06-11,Summer,Charleswood,"\$579,900",0
202507919,"167 Joynson Crescent, Winnipeg R3R 2W9","\$624,800","\$624,800",RD,5,1.0,7,2019,Double Attached,1851,0.0,0.0,Charleswood,1851.0,2025-06-11,Summer,Charleswood,"\$624,800",0
202510691,"107 Yellow Rail Crescent, Winnipeg R3R 3Z3","\$649,900","\$638,000",RD,5,1.0,8,2022,"Double Attached, Front Drive Access",1661,0.0,0.0,Charleswood,1661.0,2025-06-11,Summer,Charleswood,"\$649,900",0
202511232,"144 Wildwood C Park, Winnipeg R3T 0E1","\$699,900","\$840,000",RD,5,1.0,7,1947,"Single Detached, Oversized",2124,0.0,0.0,Wildwood,2124.0,2025-06-11,Summer,Wildwood,"\$699,900",0
202511512,"136 Wildwood C Park, Winnipeg R3T 0E1","\$499,800","\$541,136",RD,3,1.0,7,1947,Double Detached,1152,0.0,0.0,Wildwood,1152.0,2025-06-11,Summer,Wildwood,"\$499,800",0
202510960,"921 Merriam Boulevard, Winnipeg R3T 0V2","\$344,900","\$387,000",RD,4,1.0,10,1946,Single Detached,1387,0.0,0.0,East Fort Garry,1387.0,2025-06-11,Summer,East Fort Garry,"\$344,900",0
202506093,"1030 Howard Avenue, Winnipeg R3T 1S2","\$282,900","\$270,000",RD,2,1.0,49,1954,Single Detached,720,0.0,0.0,West Fort Garry,720.0,2025-06-11,Summer,West Fort Garry,"\$282,900",0
202508419,"3 St Edmund's Bay, Winnipeg R3T 3M5","\$619,900","\$610,000",RD,4,1.0,33,1971,Double Attached,nan,0.0,0.0,Fort Richmond,0.0,2025-06-11,Summer,Fort Richmond,"\$619,900",0
202511366,"43 Celtic Bay, Winnipeg R3T 2W8","\$399,900","\$447,000",RD,6,1.0,7,1965,"Single Detached, Carport",1058,0.0,0.0,Fort Richmond,1058.0,2025-06-11,Summer,Fort Richmond,"\$399,900",0
202505563,"90 Kings Drive, Winnipeg R3T 3E5","\$799,900","\$730,000",RD,2,1.0,35,1941,"Single Attached, Front Drive Access",1131,0.0,0.0,Fort Richmond,1131.0,2025-06-11,Summer,Fort Richmond,"\$799,900",0
202509727,"7 Grimston Road, Winnipeg R3T 3T2","\$389,900","\$484,000",RD,5,1.0,6,1975,"Front Drive Access, Parking Pad, Plug-In",1204,0.0,0.0,Fort Richmond,1204.0,2025-06-11,Summer,Fort Richmond,"\$389,900",0
202511307,"1002 Chancellor Drive, Winnipeg R3T 4S1","\$299,900","\$350,500",SA,3,1.0,7,1978,Parking Pad,1156,0.0,0.0,Waverley Heights,1156.0,2025-06-11,Summer,Waverley Heights,"\$299,900",0
202513203,"48 East Lake Drive, Winnipeg R3T 4V5","\$320,000","\$320,000",SA,3,1.0,0,1979,Front Drive Access,800,0.0,0.0,Waverley Heights,800.0,2025-06-11,Summer,Waverley Heights,"\$320,000",0
202509388,"23 Wankling Court, Winnipeg R3P 2P8","\$899,900","\$950,000",RD,3,1.0,8,2006,"Double Attached, Front Drive Access, Garage door opener, Paved Driveway",2473,0.0,0.0,Linden Woods,2473.0,2025-06-11,Summer,Linden Woods,"\$899,900",0
202511322,"118 Prairie Sky Drive, Winnipeg R3Y 0G6","\$629,900","\$690,000",RD,5,1.0,7,2011,Double Attached,2171,0.0,0.0,South Pointe,2171.0,2025-06-11,Summer,South Pointe,"\$629,900",0
202506560,"118 Fossil Creek Crescent, Winnipeg R3Y 2J9","\$589,900","\$589,900",RD,4,1.0,49,2025,Double Attached,1745,0.0,0.0,Prairie Pointe,1745.0,2025-06-11,Summer,Prairie Pointe,"\$589,900",0
202421185,"120 Lindenshore Drive , Winnipeg R3P 2M9","\$3,499,000","\$3,200,000",RD,5,1.0,202,2000,Multiple Attached,4400,0.0,0.0,Linden Woods,4400.0,2025-06-11,Summer,Linden Woods,"\$3,499,000",0
202511345,"15 Leander Crescent , Winnipeg R3Y 1W5","\$589,900","\$640,015",RD,4,1.0,8,2002,Double Attached,1794,0.0,0.0,Whyte Ridge,1794.0,2025-06-11,Summer,Whyte Ridge,"\$589,900",0
202508295,"147 Apple Hill Road , Winnipeg R3Y 1A3","\$589,900","\$579,000",RD,4,1.0,8,1987,"Double Attached, Front Drive Access, Paved Driveway",1736,0.0,0.0,Whyte Ridge,1736.0,2025-06-11,Summer,Whyte Ridge,"\$589,900",0
202509503,"116 Le Maire Street , Winnipeg R3V 1C9","\$234,900","\$270,200",SA,3,1.0,6,1972,"Parking Pad, Rear Drive Access, Unpaved Driveway",928,0.0,0.0,Grandmont Park,928.0,2025-06-11,Summer,Grandmont Park,"\$234,900",0
202510836,"281 Appleford Gate , Winnipeg R3Y 0S5","\$559,900","\$547,000",RD,3,1.0,10,2015,Double Detached,1615,0.0,0.0,Bridgwater Trails,1615.0,2025-06-11,Summer,Bridgwater Trails,"\$559,900",0
202511093,"131 Lake Bend Road , Winnipeg R3Y 0M4","\$799,900","\$851,000",RD,5,1.0,7,2014,Double Attached,nan,0.0,0.0,Bridgwater Lakes,0.0,2025-06-11,Summer,Bridgwater Lakes,"\$799,900",0
202509790,"8500 Roblin Boulevard , Headingley R4J 1B3","\$529,900","\$517,500",RD,2,1.0,8,1973,Multiple Detached,2230,0.0,0.0,Headingley South,2230.0,2025-06-11,Summer,Headingley South,"\$529,900",0
202511301,"219 Dumoulin Street , Winnipeg R2H 0E4","\$349,900","\$451,000",RD,3,1.0,8,1949,Double Detached,nan,0.0,0.0,St Boniface,0.0,2025-06-11,Summer,St Boniface,"\$349,900",0
202510855,"41 West Fernwood Avenue , Winnipeg R2M 1W7","\$339,900","\$440,441",RD,2,1.0,7,1928,"Single Detached, Front Drive Access, Garage door opener, Oversized, Paved Driveway",779,0.0,0.0,Norberry,779.0,2025-06-11,Summer,Norberry,"\$339,900",0
202511397,"50 Tyrone Bay , Winnipeg R2M 4R2","\$429,900","\$473,000",RD,3,1.0,12,1975,Single Attached,1204,0.0,0.0,Pulberry,1204.0,2025-06-11,Summer,Pulberry,"\$429,900",0
202511581,"20 Cunnington Avenue , Winnipeg R2M 0W5","\$469,900","\$512,174",RD,4,1.0,6,1927,Double Detached,2080,0.0,0.0,Elm Park,2080.0,2025-06-11,Summer,Elm Park,"\$469,900",0
202510588,"366 Riel Avenue , Winnipeg R2M 4P1","\$414,900","\$435,000",RD,4,1.0,9,1975,Single Attached,1116,0.0,0.0,Bright Oaks,1116.0,2025-06-11,Summer,Bright Oaks,"\$414,900",0
202510609,"107 Hindley Avenue , Winnipeg R2M 1P6","\$319,900","\$450,250",RD,3,1.0,8,1951,Double Detached,856,0.0,0.0,St Vital,856.0,2025-06-11,Summer,St Vital,"\$319,900",0
202506000,"299 Redwood Avenue , Winnipeg R2W 1S1","\$67,000","\$65,500",RD,3,1.0,5,0,Single Detached,1000,0.0,0.0,North End,1000.0,2025-06-11,Summer,North End,"\$67,000",0
202511698,"648 Niagara Street , Winnipeg R3N 0V4","\$629,900","\$720,000",RD,3,1.0,4,1926,nan,nan,0.0,0.0,Crescentwood,0.0,2025-06-11,Summer,Crescentwood,"\$629,900",0
202508223,"502 Kingsford Avenue , Winnipeg R2G 0K2","\$299,900","\$367,000",RD,3,1.0,8,1955,Single Detached,1358,0.0,0.0,East Kildonan,1358.0,2025-06-11,Summer,East Kildonan,"\$299,900",0
202511324,"10 Inman Avenue , Winnipeg R2M 0R5","\$299,900","\$335,533",SA,2,1.0,7,1978,Parking Pad,nan,0.0,0.0,St Vital,0.0,2025-06-11,Summer,St Vital,"\$299,900",0
202511382,"15 Worthington Avenue , Winnipeg R2M 1G6","\$399,900","\$494,000",RD,3,1.0,6,1971,Double Detached,nan,0.0,nan,nan,0.0,2025-06-11,Summer,nan,"\$399,900",0
202513038,"25 Sadler Avenue , Winnipeg R2M1N6","\$340,000","\$340,000",RD,4,1.0,0,0,Front & Rear Drive Access,1525,0.0,0.0,St Vital,1525.0,2025-06-11,Summer,St Vital,"\$340,000",0
202510048,"46 John Neufeld Crescent , Winnipeg R3T 2W8","\$579,900","\$560,000",RD,4,1.0,21,2024,Double Attached,nan,0.0,0.0,Fort Richmond,0.0,2025-06-11,Summer,Fort Richmond,"\$579,900",0
202511512,"136 Wildwood C Park , Winnipeg R3T 0E1","\$499,800","\$541,136",RD,3,1.0,7,1947,nan,1152,0.0,0.0,Wildwood,1152.0,2025-06-11,Summer,Wildwood,"\$499,800",0
202510067,"91 Gemini Avenue , Winnipeg R2G 0T7","\$399,900","\$418,000",RD,3,1.0,7,0,"Single Detached, Oversized, Parking Pad, Rear Drive Access",nan,0.0,0.0,North Kildonan,0.0,2025-06-11,Summer,North Kildonan,"\$399,900",0
202510004,"32 Stone Meadow Road , Winnipeg R3Y 1S4","\$599,900","\$599,900",RD,3,1.0,9,2017,Double Attached,nan,0.0,0.0,Bridgwater Trails,0.0,2025-06-11,Summer,Bridgwater Trails,"\$599,900",0
202510464,"4921 Eldridge Avenue , Winnipeg R3R 0M4","\$499,900","\$545,000",RD,3,1.0,7,1969,"Single Detached, Front Drive Access",1128,0.0,0.0,Charleswood,1128.0,2025-06-11,Summer,Charleswood,"\$499,900",0
202513908,10 Neptune Bay,Winnipeg R3T 0Z7,\$299,900,\$350,0.0,RD,0,2,nan,nan,nan,nan,0.0,2025-06-11,Summer,nan,Winnipeg R3T 0Z7,0
202513202,"405 Churchill Drive , Winnipeg R3L 1W2",524900,601405,RD,3,2.0,9,1954,Double Detached,1472,Fort Rouge,nan,nan,1472.0,2025-06-11,Summer,nan,524900,0
202513082,"853 Nassau Street S, Winnipeg R3L 2N1",224900,232500,RD,2,1.0,12,1909,"Carport, Rear Drive Access",800,Fort Rouge,nan,nan,800.0,2025-06-11,Summer,nan,224900,0
202511521,"324 Morley Avenue , Winnipeg R3L 0Y5",299900,292500,RD,3,2.0,12,1913,"Rear Drive Access, Unpaved Driveway",1202,Fort Rouge,nan,nan,1202.0,2025-06-11,Summer,nan,299900,0
202513491,"515 Wardlaw Avenue , Winnipeg R3L 0L9",599990,600000,RD,4,2.0,0,1905,"Single Detached, Parking Pad",2018,Osborne Village,nan,nan,2018.0,2025-06-11,Summer,nan,599990,0
202509071,"724 Ebby Avenue , Winnipeg R3M 2H6",249900,239900,RD,2,1.0,32,1947,"Single Detached, Rear Drive Access",700,Crescentwood,nan,nan,700.0,2025-06-11,Summer,nan,249900,0
202510991,"866 Garwood Avenue , Winnipeg R3M 1N5",309900,337000,RD,2,2.0,7,1930,"Single Detached, Garage door opener, Parking Pad",712,Crescentwood,nan,nan,712.0,2025-06-11,Summer,nan,309900,0
202513121,"1229 Corydon Avenue , Winnipeg R3M 0X6",349900,400000,RD,5,2.0,6,1950,"Plug-In, Rear Drive Access",1210,Crescentwood,nan,nan,1210.0,2025-06-11,Summer,nan,349900,0
202513433,"341 Oxford Street , Winnipeg R3M 3H9",1149900,1270000,RD,4,4.0,7,1929,Double Detached,2500,River Heights North,nan,nan,2500.0,2025-06-11,Summer,nan,1149900,0
202513663,"768 Borebank Street , Winnipeg R3N 1G4",599900,651600,RD,3,2.0,9,1954,Double Detached,1361,River Heights,nan,nan,1361.0,2025-06-11,Summer,nan,599900,0
202513169,"870 Borebank Street , Winnipeg R3N 1G6",479900,480000,RD,3,2.0,8,1960,"Double Detached, Parking Pad",1122,River Heights South,nan,nan,1122.0,2025-06-11,Summer,nan,479900,0
202510896,"674 Waverley Street , Winnipeg R3M 3L6",524900,642500,RD,3,2.0,10,1957,Double Detached,1600,River Heights South,nan,nan,1600.0,2025-06-11,Summer,nan,524900,0
202511280,"520 Centennial Street , Winnipeg R3N 1P9",309900,360000,SA,3,2.0,9,1988,Parking Pad,1072,River Heights,nan,nan,1072.0,2025-06-11,Summer,nan,309900,0
202508831,"1564 Mathers Bay W, Winnipeg R3N 0T7",799900,760000,RD,5,3.0,28,1973,Double Attached,2702,River Heights,nan,nan,2702.0,2025-06-11,Summer,nan,799900,0
202512743,"779 Renfrew Street , Winnipeg R3N 1K3",395000,461000,RD,3,1.0,10,1957,Double Detached,1000,River Heights,nan,nan,1000.0,2025-06-11,Summer,nan,395000,0
202512722,"141 Park Place W, Winnipeg R3P 2C8",990000,1160000,RD,4,4.0,8,1992,"Double Attached, Front Drive Access, Insulated",2750,Tuxedo,nan,nan,2750.0,2025-06-11,Summer,nan,990000,0
202513607,"857 Community Row , Winnipeg R3R 1H9",399900,437000,RD,3,1.0,8,1971,Double Detached,1050,Charleswood,nan,nan,1050.0,2025-06-11,Summer,nan,399900,0
202513472,"106 Epsom Crescent , Winnipeg R3R 0X2",439900,579000,RD,2,2.0,7,1983,"Double Attached, Front Drive Access",1104,Charleswood,nan,nan,1104.0,2025-06-11,Summer,nan,439900,0
202513759,"821 Laxdal Road , Winnipeg R3R 1V7",224900,220000,VL,0,0.0,5,0,Front Drive Access,nan,Charleswood,nan,nan,0.0,2025-06-11,Summer,nan,224900,0
202508446,"381 Glenbush Street , Winnipeg R2Y 0N1",884000,850000,RD,3,3.0,42,2016,Double Attached,1674,Charleswood,nan,nan,1674.0,2025-06-11,Summer,nan,884000,0
202510910,"54 Cadiz Bay , Winnipeg R3R 2M7",499900,460000,RD,3,3.0,10,1976,"Single Attached, Front Drive Access, Paved Driveway",1380,Charleswood,nan,nan,1380.0,2025-06-11,Summer,nan,499900,0
202512945,"634 Fairmont Road , Winnipeg R3R 1B1",949900,940000,RD,4,4.0,7,2007,"Triple Attached, Front Drive Access, Garage door opener, Oversized, Paved Driveway",2275,Charleswood,nan,nan,2275.0,2025-06-11,Summer,nan,949900,0
202512975,"607 Dieppe Road , Winnipeg R3R 1C5",419900,550000,RD,3,2.0,7,1967,Double Attached,1539,Charleswood,nan,nan,1539.0,2025-06-11,Summer,nan,419900,0
202511045,"134 Robindale Road , Winnipeg R3R 1G7",399900,387500,RD,2,2.0,9,1949,Double Attached,796,Charleswood,nan,nan,796.0,2025-06-11,Summer,nan,399900,0
202511252,"82 Bergman Crescent , Winnipeg R3R 1Z7",299900,351500,SA,3,1.0,12,1973,Carport,948,Charleswood,nan,nan,948.0,2025-06-11,Summer,nan,299900,0
202511493,"27 Oâ€™Brien Crescent , Winnipeg R3R 1M5",529900,515000,RD,4,3.0,13,1966,Single Attached,1850,Westdale,nan,nan,1850.0,2025-06-11,Summer,nan,529900,0
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,2.0,7,2019,Double Attached,1263,Charleswood,nan,nan,1263.0,2025-06-11,Summer,nan,549900,0
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,3.0,42,2017,"Double Attached, Front Drive Access, Garage door opener, Plug-In, Paved Driveway",1649,Charleswood,nan,nan,1649.0,2025-06-11,Summer,nan,679900,0
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,2.0,6,1963,Single Detached,1382,West Fort Garry,nan,nan,1382.0,2025-06-11,Summer,nan,299900,0
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,1.0,8,1960,"Single Detached, Garage door opener, Heated, Insulated",948,West Fort Garry,nan,nan,948.0,2025-06-11,Summer,nan,379000,0
202509586,"71 Loyola Bay , Winnipeg R3P 0T3",374900,410000,RD,4,2.0,8,1968,Oversized,1000,Fort Richmond,nan,nan,1000.0,2025-06-11,Summer,nan,374900,0
202507896,"43 Macalester Bay , Winnipeg R3T 2X6",456000,427140,RD,3,2.0,39,1965,"Single Attached, Breezeway",1000,Fort Richmond,nan,nan,1000.0,2025-06-11,Summer,nan,456000,0
202510809,"71 Bryn Mawr Road , Winnipeg R3T 3K3",499000,486500,RD,3,2.0,13,1972,Single Detached,1068,Fort Richmond,nan,nan,1068.0,2025-06-11,Summer,nan,499000,0
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,2.0,7,2019,Double Attached,1263,Charleswood,nan,nan,1263.0,2025-06-11,Summer,nan,549900,0
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,3.0,42,2017,"Double Attached, Front Drive Access, Garage door opener, Plug-In, Paved Driveway",1649,Charleswood,nan,nan,1649.0,2025-06-11,Summer,nan,679900,0
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,2.0,6,1963,Single Detached,1382,West Fort Garry,nan,nan,1382.0,2025-06-11,Summer,nan,299900,0
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,1.0,8,1960,"Single Detached, Garage door opener, Heated, Insulated",948,West Fort Garry,nan,nan,948.0,2025-06-11,Summer,nan,379000,0
202509586,"71 Loyola Bay , Winnipeg R3P 0T3",374900,410000,RD,3,2.0,8,1968,Oversized,1000,Fort Richmond,nan,nan,1000.0,2025-06-11,Summer,nan,374900,0
202507896,"43 Macalester Bay , Winnipeg R3T 2X6",456000,427140,RD,3,2.0,39,1965,"Single Attached, Breezeway",1000,Fort Richmond,nan,nan,1000.0,2025-06-11,Summer,nan,456000,0
202510809,"71 Bryn Mawr Road , Winnipeg R3T 3K3",499000,486500,RD,3,2.0,13,1972,Single Detached,1068,Fort Richmond,nan,nan,1068.0,2025-06-11,Summer,nan,499000,0
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,2.0,7,2019,Double Attached,1263,Charleswood,nan,nan,1263.0,2025-06-11,Summer,nan,549900,0
202507722,"34 Kowalsky Crescent , Winnipeg R3R 3A8",679900,660000,RD,3,3.0,42,2017,"Double Attached, Front Drive Access, Garage door opener, Plug-In, Paved Driveway",1649,Charleswood,nan,nan,1649.0,2025-06-11,Summer,nan,679900,0
202513908,"10 Neptune Bay , Winnipeg R3T 0Z7",299900,350000,RD,3,2.0,6,1963,Single Detached,1382,West Fort Garry,nan,nan,1382.0,2025-06-11,Summer,nan,299900,0
202507570,"1462 Mars Drive , Winnipeg R3T 1E9",379000,425000,RD,3,1.0,8,1960,"Single Detached, Garage door opener, Heated, Insulated",948,West Fort Garry,nan,nan,948.0,2025-06-11,Summer,nan,379000,0
202509586,"71 Loyola Bay , Winnipeg R3P 0T3",374900,410000,RD,4,2.0,8,1968,Oversized,1000,Fort Richmond,nan,nan,1000.0,2025-06-11,Summer,nan,374900,0
202507896,"43 Macalester Bay , Winnipeg R3T 2X6",456000,427140,RD,3,2.0,39,1965,"Single Attached, Breezeway",1000,Fort Richmond,nan,nan,1000.0,2025-06-11,Summer,nan,456000,0
202510809,"71 Bryn Mawr Road , Winnipeg R3T 3K3",499000,486500,RD,3,2.0,13,1972,Single Detached,1068,Fort Richmond,nan,nan,1068.0,2025-06-11,Summer,nan,499000,0
202513014,"73 Kestrel Way , Winnipeg R3R 3Y7",549900,565073,RD,3,2.0,7,2019,Double Attached,1263,Charleswood,nan,nan,1263.0,2025-06-11,Summer,nan,549900,0
